strategy_code,strategy,include,cb_function,test_id,comparison_id,difference_variable,multiplier,multiplier.unit,annual.change,output_variable_name,output_display_name,sum,natural.multiplier.units,display_notes,internal_notes
INEN:FUEL_SWITCH_LO_HEAT,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,1,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_LO_HEAT,BASE,energy_consumption_inen_total,-463333,$/PJ,0.8871931,technical_cost,Cost of low temp heat pumps,0,$5/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none
INEN:FUEL_SWITCH_LO_HEAT,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,1,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_LO_HEAT,BASE,energy_consumption_inen_total,-83400,$/PJ,1,technical_savings,Maintenance savings of low temp heat pumps,0,$0.90/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none
INEN:FUEL_SWITCH_LO_HEAT_REP,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,0,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_LO_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-463333,$/PJ,0.8871931,technical_cost,Cost of low temp heat pumps,0,$5/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none
INEN:FUEL_SWITCH_LO_HEAT_REP,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,0,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_LO_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-83400,$/PJ,1,technical_savings,Maintenance savings of low temp heat pumps,0,$0.90/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none
INEN:FUEL_SWITCH_HI_HEAT,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,1,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_HI_HEAT,BASE,energy_consumption_inen_total,-1.39E+06,$/PJ,1,technical_cost,Cost of high temp heat pumps,0,$15/mwh,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.","Because the model doesn't output thermal demand, we apply the cost to the difference in energy demand, assuming that each PJ of thermal demand that shifts to electricity, 3 fewer PJ of energy are required. Therefore, we apply a 1/3 of the cost to each energy PJ. WE further convert $5/mwh to PJ using the conversion 2.78 x 10^5 MWH/PJ. So delta_PJ * 2.78 MWh/PJ * 1mwhthermal/3PJ * $5/mwhthermal = $463333/PJ"
INEN:FUEL_SWITCH_HI_HEAT,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,1,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_HI_HEAT,BASE,energy_consumption_inen_total,-8.34E+04,$/PJ,1,technical_savings,Maintenance savings of high temp heat pumps and hydrogen,0,$0.90/MWh thermal demand,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.",
INEN:FUEL_SWITCH_HI_HEAT_REP,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,0,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_HI_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-1.39E+06,$/PJ,1,technical_cost,Cost of high temp heat pumps,0,$15/mwh,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.","Because the model doesn't output thermal demand, we apply the cost to the difference in energy demand, assuming that each PJ of thermal demand that shifts to electricity, 3 fewer PJ of energy are required. Therefore, we apply a 1/3 of the cost to each energy PJ. WE further convert $5/mwh to PJ using the conversion 2.78 x 10^5 MWH/PJ. So delta_PJ * 2.78 MWh/PJ * 1mwhthermal/3PJ * $5/mwhthermal = $463333/PJ"
INEN:FUEL_SWITCH_HI_HEAT_REP,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,0,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_HI_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-8.34E+04,$/PJ,1,technical_savings,Maintenance savings of high temp heat pumps and hydrogen,0,$0.90/MWh thermal demand,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.",
INEN:INC_EFFICIENCY_ENERGY,INEN: Maximize industrial energy efficiency,1,cb_difference_between_two_strategies,INEN:INC_EFFICIENCY_ENERGY,BASE,energy_consumption_inen_total,-1.80E+07,$/PJ,1,technical_cost,Cost of energy efficiency,0,$18/GJ,"Talaei et al. (2019, Table 4) and Talaei et al. (2020, Table 6) estimate that the capital cost of increasing energy efficiency of the existing Canadian cement and steel industries, respectively. We use the average cost across interventions in both industries in 2019 dollars (CAD $31/GJ based on CAD$18/GJ for cement in and CAD$44/GJ for steel), adjusted to LAC.",
INEN:INC_EFFICIENCY_ENERGY_REP,INEN: Maximize industrial energy efficiency with renewable energy production,0,cb_difference_between_two_strategies,INEN:INC_EFFICIENCY_ENERGY_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-1.80E+07,$/PJ,1,technical_cost,Cost of energy efficiency,0,$18/GJ,"Talaei et al. (2019, Table 4) and Talaei et al. (2020, Table 6) estimate that the capital cost of increasing energy efficiency of the existing Canadian cement and steel industries, respectively. We use the average cost across interventions in both industries in 2019 dollars (CAD $31/GJ based on CAD$18/GJ for cement in and CAD$44/GJ for steel), adjusted to LAC.",
INEN:INC_EFFICIENCY_PRODUCTION,INEN: Maximize industrial production efficiency,0,cb_difference_between_two_strategies,INEN:INC_EFFICIENCY_PRODUCTION,BASE,,,,,,,,,,
INEN:INC_EFFICIENCY_PRODUCTION_REP,INEN: Maximize industrial production efficiency with renewable energy production,0,cb_difference_between_two_strategies,INEN:INC_EFFICIENCY_PRODUCTION_REP,ENTC:RENEWABLE_ELEC_TARGET,,,,,,,,,,
TRNS:FUEL_SWITCH_LIGHT_DUTY,TRNS: Electrify light duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_LIGHT_DUTY,BASE,vehicle_distance_traveled_trns_road_light_electricity,-0.039,$/vkm,0.9,technical_cost_electrification_LDV,EV + Charger Cost,0,$0.039/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_LIGHT_DUTY,TRNS: Electrify light duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_LIGHT_DUTY,BASE,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1,savings_maintenance_electrify_LDV,EV Maintenance,0,$0.012/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,TRNS: Electrify light duty road transport with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,ENTC:RENEWABLE_ELEC_TARGET,vehicle_distance_traveled_trns_road_light_electricity,-0.039,$/vkm,0.9,technical_cost_electrification_LDV,EV + Charger Cost,0,$0.039/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,TRNS: Electrify light duty road transport with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,ENTC:RENEWABLE_ELEC_TARGET,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1,savings_maintenance_electrify_LDV,EV Maintenance,0,$0.012/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_RAIL,TRNS: Electrify rail,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_RAIL,BASE,energy_consumption_trns_electricity,-422400000,$/PJ,1,technical_cost_electrification_rail,Electric Rail Capital Cost,0,$0.0025/mt-km and /pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
TRNS:FUEL_SWITCH_RAIL,TRNS: Electrify rail,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_RAIL,BASE,energy_consumption_trns_electricity,2377710,$/PJ,1,savings_maintenance_electrify_rail,Electric Rail Maintenance,0,$0.0003/mt-km and $/pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
TRNS:FUEL_SWITCH_RAIL_REP,TRNS: Electrify rail with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_RAIL_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_trns_electricity,-422400000,$/PJ,1,technical_cost_electrification_rail,Electric Rail Capital Cost,0,$0.0025/mt-km and /pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
TRNS:FUEL_SWITCH_RAIL_REP,TRNS: Electrify rail with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_RAIL_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_trns_electricity,2377710,$/PJ,1,savings_maintenance_electrify_rail,Electric Rail Maintenance,0,$0.0003/mt-km and $/pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
TRNS:FUEL_SWITCH_MARITIME,TRNS: Fuel switch maritime,1,cb_scale_variable_in_strategy,TRNS:FUEL_SWITCH_MARITIME,BASE,mass_distance_traveled_trns_mt_km_water_borne,-0.0005,$/mtkm,1,technical_cost_fuel_switch_maritime,Fuel Switching Maritime Cost,0,$0.0003/MTKM,"Carlo et al. (2020) estimate that decarbonizing the maritime industry (using ammonia as the primary fuel) by 2050 will cost roughly $1 trillion, with 55% of that cost associated with ammonia production and storage and ship-related investments (Krantz et al, 2020). (45% of the cost is associated with hydrogen production, which we account for in energy production.) They also estimate a total demand of approximately 500,000 billion ton-nautical miles of demand. We use this data to approximate a cost per MT-KM of demand and adjust to LAC.",
TRNS:FUEL_SWITCH_MARITIME_REP,TRNS: Fuel switch maritime with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MARITIME_REP,ENTC:RENEWABLE_ELEC_TARGET,mass_distance_traveled_trns_mt_km_water_borne,-0.0003,$/mtkm,1,technical_cost_fuel_switch_maritime,Fuel Switching Maritime Cost,0,$0.0003/MTKM,"Carlo et al. (2020) estimate that decarbonizing the maritime industry (using ammonia as the primary fuel) by 2050 will cost roughly $1 trillion, with 55% of that cost associated with ammonia production and storage and ship-related investments (Krantz et al, 2020). (45% of the cost is associated with hydrogen production, which we account for in energy production.) They also estimate a total demand of approximately 500,000 billion ton-nautical miles of demand. We use this data to approximate a cost per MT-KM of demand and adjust to LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY,TRNS: Fuel switch medium duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,vehicle_distance_traveled_trns_*_electricity,-0.042,$/vkm,0.9,technical_cost_electrification_HDV_vehicle,EV Vehicle Cost,0,$0.042/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY,TRNS: Fuel switch medium duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,vehicle_distance_traveled_trns_*_electricity,0.02,$/vkm,0.9,savings_maintenance_electrify_HDV,EV Maintenance,0,$0.02/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY,TRNS: Fuel switch medium duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,energy_consumption_trns_*_electricity,-3177614,$/PJ,1,technical_cost_electrification_HDV_charger,EV Charger Cost,0,$0.011/kwh,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,TRNS: Fuel switch medium duty road transport with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,ENTC:RENEWABLE_ELEC_TARGET,vehicle_distance_traveled_trns_*_electricity,-0.042,$/vkm,0.9,technical_cost_electrification_HDV_vehicle,EV Vehicle Cost,0,$0.042/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
